"","Format","Format label","from bio.tools","from bio.tools label","is_format_of","is_format_of label","parent","parent label"
"60","http://edamontology.org/format_1435","Phylip tree format",NA,NA,NA,NA,"http://edamontology.org/format_2556","Phylogenetic tree format (text)"
"61","http://edamontology.org/format_1436","TreeBASE format",NA,NA,NA,NA,"http://edamontology.org/format_2556","Phylogenetic tree format (text)"
"62","http://edamontology.org/format_1437","TreeFam format",NA,NA,NA,NA,"http://edamontology.org/format_2556","Phylogenetic tree format (text)"
"63","http://edamontology.org/format_1445","Phylip tree distance format",NA,NA,NA,NA,"http://edamontology.org/format_2049","Phylogenetic tree report (tree distances) format"
"64","http://edamontology.org/format_1454","dssp",NA,NA,NA,NA,"http://edamontology.org/format_2077","Protein secondary structure format"
"65","http://edamontology.org/format_1455","hssp",NA,NA,NA,NA,"http://edamontology.org/format_2077","Protein secondary structure format"
"66","http://edamontology.org/format_1457","Dot-bracket format","http://edamontology.org/data_0880","RNA secondary structure",NA,NA,"http://edamontology.org/format_2076","RNA secondary structure format"
"67","http://edamontology.org/format_1458","Vienna local RNA secondary structure format","http://edamontology.org/data_0880","RNA secondary structure",NA,NA,"http://edamontology.org/format_1457","Dot-bracket format"
"68","http://edamontology.org/format_1475","PDB database entry format","http://edamontology.org/data_1070","Structure ID","http://edamontology.org/data_0883","Structure","http://edamontology.org/format_2033","Tertiary structure format"
"69","http://edamontology.org/format_1476","PDB","http://edamontology.org/data_1460|http://edamontology.org/data_0883|http://edamontology.org/data_1537|http://edamontology.org/data_2044|http://edamontology.org/data_1127|http://edamontology.org/data_3108|http://edamontology.org/data_2976|http://edamontology.org/data_2877|http://edamontology.org/data_1710|http://edamontology.org/data_1464|http://edamontology.org/data_1481|http://edamontology.org/data_2878|http://edamontology.org/data_0937|http://edamontology.org/data_2080|http://edamontology.org/data_0863","Protein structure|Structure|Protein structure report|Sequence|PDB ID|Experimental measurement|Protein sequence|Protein complex|Structure image|DNA structure|Structure alignment (protein)|Protein structural motif|Protein X-ray crystallographic data|Database search results|Sequence alignment",NA,NA,"http://edamontology.org/format_1475","PDB database entry format"
"70","http://edamontology.org/format_1477","mmCIF",NA,NA,NA,NA,"http://edamontology.org/format_1475","PDB database entry format"
"71","http://edamontology.org/format_1478","PDBML",NA,NA,NA,NA,"http://edamontology.org/format_1475","PDB database entry format"
"72","http://edamontology.org/format_1504","aaindex",NA,NA,NA,NA,"http://edamontology.org/format_2017","Amino acid index format"
"73","http://edamontology.org/format_1551","Pcons report format",NA,NA,NA,NA,"http://edamontology.org/format_2065","Protein structure report (quality evaluation) format"
"74","http://edamontology.org/format_1552","ProQ report format",NA,NA,NA,NA,"http://edamontology.org/format_2065","Protein structure report (quality evaluation) format"
"75","http://edamontology.org/format_1582","findkm",NA,NA,NA,NA,"http://edamontology.org/format_2027","Enzyme kinetics report format"
"76","http://edamontology.org/format_1627","Primer3 primer",NA,NA,NA,NA,"http://edamontology.org/format_2061","Nucleic acid features (primers) format"
"77","http://edamontology.org/format_1628","ABI","http://edamontology.org/data_0006|http://edamontology.org/data_2536","Data|Mass spectrometry data",NA,NA,"http://edamontology.org/format_2057","Sequence trace format"
"78","http://edamontology.org/format_1629","mira",NA,NA,NA,NA,"http://edamontology.org/format_2057","Sequence trace format"
"79","http://edamontology.org/format_1630","CAF",NA,NA,NA,NA,"http://edamontology.org/format_2561","Sequence assembly format (text)"
"80","http://edamontology.org/format_1631","EXP",NA,NA,NA,NA,"http://edamontology.org/format_2561","Sequence assembly format (text)"
"81","http://edamontology.org/format_1632","SCF","http://edamontology.org/data_2082","Matrix",NA,NA,"http://edamontology.org/format_2057","Sequence trace format"
"82","http://edamontology.org/format_1633","PHD",NA,NA,NA,NA,"http://edamontology.org/format_2057","Sequence trace format"
"83","http://edamontology.org/format_1637","dat","http://edamontology.org/data_3110|http://edamontology.org/data_2603","Raw microarray data|Expression data","http://edamontology.org/data_1714","Microarray spots image","http://edamontology.org/format_2058","Gene expression report format"
"84","http://edamontology.org/format_1638","cel","http://edamontology.org/data_2603|http://edamontology.org/data_3110","Expression data|Raw microarray data","http://edamontology.org/data_3110","Raw microarray data","http://edamontology.org/format_2058","Gene expression report format"
"85","http://edamontology.org/format_1639","affymetrix","http://edamontology.org/data_3110","Raw microarray data",NA,NA,"http://edamontology.org/format_2172","Sequence cluster format (nucleic acid)"
"86","http://edamontology.org/format_1641","affymetrix-exp",NA,NA,NA,NA,"http://edamontology.org/format_2056","Microarray experiment data format"
"87","http://edamontology.org/format_1644","CHP",NA,NA,"http://edamontology.org/data_3111","Processed microarray data","http://edamontology.org/format_2058","Gene expression report format"
"88","http://edamontology.org/format_1665","Taverna workflow format",NA,NA,NA,NA,"http://edamontology.org/format_2032","Workflow format"
"89","http://edamontology.org/format_1705","HET group dictionary entry format",NA,NA,NA,NA,"http://edamontology.org/format_2030","Chemical data format"
"90","http://edamontology.org/format_1734","PubMed citation",NA,NA,NA,NA,"http://edamontology.org/format_2848","Bibliographic reference format"
"91","http://edamontology.org/format_1735","Medline Display Format",NA,NA,NA,NA,"http://edamontology.org/format_2848","Bibliographic reference format"
"92","http://edamontology.org/format_1736","CiteXplore-core",NA,NA,NA,NA,"http://edamontology.org/format_2848","Bibliographic reference format"
"93","http://edamontology.org/format_1737","CiteXplore-all",NA,NA,NA,NA,"http://edamontology.org/format_2848","Bibliographic reference format"
"94","http://edamontology.org/format_1739","pmc",NA,NA,NA,NA,"http://edamontology.org/format_2020","Article format"
"95","http://edamontology.org/format_1740","iHOP format",NA,NA,NA,NA,"http://edamontology.org/format_2021","Text mining report format"
"96","http://edamontology.org/format_1741","OSCAR format",NA,NA,NA,NA,"http://edamontology.org/format_3780","Annotated text format"
"97","http://edamontology.org/format_1861","PlasMapper TextMap",NA,NA,NA,NA,"http://edamontology.org/format_2060","Map format"
"98","http://edamontology.org/format_1910","newick","http://edamontology.org/data_0872|http://edamontology.org/data_2523|http://edamontology.org/data_0006","Phylogenetic tree|Phylogenetic data|Data",NA,NA,"http://edamontology.org/format_2556","Phylogenetic tree format (text)"
"99","http://edamontology.org/format_1911","TreeCon format",NA,NA,NA,NA,"http://edamontology.org/format_2556","Phylogenetic tree format (text)"
"100","http://edamontology.org/format_1912","Nexus format","http://edamontology.org/data_2855","Distance matrix",NA,NA,"http://edamontology.org/format_2556","Phylogenetic tree format (text)"
"101","http://edamontology.org/format_1915","Format","http://edamontology.org/data_3210|http://edamontology.org/data_0582|http://edamontology.org/data_2048|http://edamontology.org/data_2854|http://edamontology.org/data_1361|http://edamontology.org/data_1353|http://edamontology.org/data_2082","Genome index|Ontology|Report|Position-specific scoring matrix|Position frequency matrix|Sequence motif|Matrix",NA,NA,"http://edamontology.org/NA|http://edamontology.org/","NA|NA"
"102","http://edamontology.org/format_1919","Sequence record format","http://edamontology.org/data_3115|http://edamontology.org/data_2044|http://edamontology.org/data_2600|http://edamontology.org/data_0849|http://edamontology.org/data_3495|http://edamontology.org/data_2976","Microarray metadata|Sequence|Pathway or network|Sequence record|RNA sequence|Protein sequence","http://edamontology.org/data_0849","Sequence record","http://edamontology.org/format_2350","Format (by type of data)"
"103","http://edamontology.org/format_1920","Sequence feature annotation format","http://edamontology.org/data_1276|http://edamontology.org/data_2080|http://edamontology.org/data_3498|http://edamontology.org/data_2603|http://edamontology.org/data_0896","Nucleic acid features|Database search results|Sequence variations|Expression data|Protein report","http://edamontology.org/data_1255","Sequence features","http://edamontology.org/format_2350","Format (by type of data)"
"104","http://edamontology.org/format_1921","Alignment format","http://edamontology.org/data_0863|http://edamontology.org/data_0867|http://edamontology.org/data_0849|http://edamontology.org/data_0925|http://edamontology.org/data_2977|http://edamontology.org/data_1383","Sequence alignment|Sequence alignment report|Sequence record|Sequence assembly|Nucleic acid sequence|Sequence alignment (nucleic acid)","http://edamontology.org/data_0863","Sequence alignment","http://edamontology.org/format_2350","Format (by type of data)"
"105","http://edamontology.org/format_1923","acedb",NA,NA,NA,NA,"http://edamontology.org/format_2551","Sequence record format (text)"
"106","http://edamontology.org/format_1925","codata",NA,NA,NA,NA,"http://edamontology.org/format_2551","Sequence record format (text)"
"107","http://edamontology.org/format_1926","dbid","http://edamontology.org/data_0849","Sequence record",NA,NA,"http://edamontology.org/format_2200","FASTA-like (text)"
"108","http://edamontology.org/format_1927","EMBL format","http://edamontology.org/data_2044|http://edamontology.org/data_1255|http://edamontology.org/data_0849|http://edamontology.org/data_0916|http://edamontology.org/data_3134","Sequence|Sequence features|Sequence record|Gene report|Gene transcript report",NA,NA,"http://edamontology.org/format_2181|http://edamontology.org/format_2206","EMBL-like (text)|Sequence feature table format (text)"
"109","http://edamontology.org/format_1928","Staden experiment format",NA,NA,NA,NA,"http://edamontology.org/format_2551","Sequence record format (text)"
"110","http://edamontology.org/format_1929","FASTA","http://edamontology.org/data_2976|http://edamontology.org/data_2974|http://edamontology.org/data_0850|http://edamontology.org/data_2711|http://edamontology.org/data_2044|http://edamontology.org/data_1384|http://edamontology.org/data_3495|http://edamontology.org/data_3496|http://edamontology.org/data_3671|http://edamontology.org/data_0925|http://edamontology.org/data_2977|http://edamontology.org/data_0849|http://edamontology.org/data_1246|http://edamontology.org/data_2048|http://edamontology.org/data_2084|http://edamontology.org/data_1234|http://edamontology.org/data_2975|http://edamontology.org/data_0006|http://edamontology.org/data_2070|http://edamontology.org/data_0943|http://edamontology.org/data_1233|http://edamontology.org/data_0863|http://edamontology.org/data_3494|http://edamontology.org/data_1097|http://edamontology.org/data_3497|http://edamontology.org/data_0928|http://edamontology.org/data_1383|http://edamontology.org/data_2536|http://edamontology.org/data_2886|http://edamontology.org/data_3002|http://edamontology.org/data_2749|http://edamontology.org/data_2080|http://edamontology.org/data_1385|http://edamontology.org/data_1050|http://edamontology.org/data_2887|http://edamontology.org/data_2730|http://edamontology.org/data_1245|http://edamontology.org/data_0916|http://edamontology.org/data_0896|http://edamontology.org/data_1353|http://edamontology.org/data_1916","Protein sequence|Protein sequence (raw)|Sequence set|Genome report|Sequence|Sequence alignment (protein)|RNA sequence|RNA sequence (raw)|Text|Sequence assembly|Nucleic acid sequence|Sequence record|Sequence cluster (nucleic acid)|Report|Nucleic acid report|Sequence set (nucleic acid)|Nucleic acid sequence (raw)|Data|Sequence motif (nucleic acid)|Mass spectrometry spectra|Sequence set (protein)|Sequence alignment|DNA sequence|Sequence accession (nucleic acid)|DNA sequence (raw)|Gene expression profile|Sequence alignment (nucleic acid)|Mass spectrometry data|Protein sequence record|Annotation track|Genome identifier|Database search results|Sequence alignment (hybrid)|File name|Nucleic acid sequence record|COGEME unisequence ID|Sequence cluster (protein)|Gene report|Protein report|Sequence motif|Alignment",NA,NA,"http://edamontology.org/format_2200|http://edamontology.org/format_2554","FASTA-like (text)|Alignment format (text)"
"111","http://edamontology.org/format_1930","FASTQ","http://edamontology.org/data_3497|http://edamontology.org/data_2044|http://edamontology.org/data_3495|http://edamontology.org/data_0848|http://edamontology.org/data_2977|http://edamontology.org/data_3496|http://edamontology.org/data_2975|http://edamontology.org/data_0842|http://edamontology.org/data_1234|http://edamontology.org/data_0006|http://edamontology.org/data_1383|http://edamontology.org/data_0849","DNA sequence (raw)|Sequence|RNA sequence|Raw sequence|Nucleic acid sequence|RNA sequence (raw)|Nucleic acid sequence (raw)|Identifier|Sequence set (nucleic acid)|Data|Sequence alignment (nucleic acid)|Sequence record",NA,NA,"http://edamontology.org/format_2182","FASTQ-like format (text)"
"112","http://edamontology.org/format_1931","FASTQ-illumina","http://edamontology.org/data_0006|http://edamontology.org/data_3495|http://edamontology.org/data_0850|http://edamontology.org/data_2975","Data|RNA sequence|Sequence set|Nucleic acid sequence (raw)",NA,NA,"http://edamontology.org/format_2182","FASTQ-like format (text)"
"113","http://edamontology.org/format_1932","FASTQ-sanger","http://edamontology.org/data_0848|http://edamontology.org/data_0006|http://edamontology.org/data_3495|http://edamontology.org/data_3497|http://edamontology.org/data_2044","Raw sequence|Data|RNA sequence|DNA sequence (raw)|Sequence",NA,NA,"http://edamontology.org/format_2182","FASTQ-like format (text)"
"114","http://edamontology.org/format_1933","FASTQ-solexa",NA,NA,NA,NA,"http://edamontology.org/format_2182","FASTQ-like format (text)"
"115","http://edamontology.org/format_1934","fitch program",NA,NA,NA,NA,"http://edamontology.org/format_2551","Sequence record format (text)"
"116","http://edamontology.org/format_1935","GCG",NA,NA,NA,NA,"http://edamontology.org/format_3486","GCG format variant"
"117","http://edamontology.org/format_1936","GenBank format","http://edamontology.org/data_2887|http://edamontology.org/data_2044|http://edamontology.org/data_3494|http://edamontology.org/data_0849|http://edamontology.org/data_2977","Nucleic acid sequence record|Sequence|DNA sequence|Sequence record|Nucleic acid sequence",NA,NA,"http://edamontology.org/format_2205|http://edamontology.org/format_2206","GenBank-like format (text)|Sequence feature table format (text)"
"118","http://edamontology.org/format_1937","genpept",NA,NA,NA,NA,"http://edamontology.org/format_2205","GenBank-like format (text)"
"119","http://edamontology.org/format_1938","GFF2-seq",NA,NA,NA,NA,"http://edamontology.org/format_2551|http://edamontology.org/format_1974","Sequence record format (text)|GFF2"
"120","http://edamontology.org/format_1939","GFF3-seq",NA,NA,NA,NA,"http://edamontology.org/format_2551|http://edamontology.org/format_1975","Sequence record format (text)|GFF3"
"121","http://edamontology.org/format_1940","giFASTA format","http://edamontology.org/data_2044","Sequence",NA,NA,"http://edamontology.org/format_2200","FASTA-like (text)"
"122","http://edamontology.org/format_1941","hennig86",NA,NA,NA,NA,"http://edamontology.org/format_2551","Sequence record format (text)"
"123","http://edamontology.org/format_1942","ig","http://edamontology.org/data_2975","Nucleic acid sequence (raw)",NA,NA,"http://edamontology.org/format_2551","Sequence record format (text)"
"124","http://edamontology.org/format_1943","igstrict",NA,NA,NA,NA,"http://edamontology.org/format_2551","Sequence record format (text)"
"125","http://edamontology.org/format_1944","jackknifer",NA,NA,NA,NA,"http://edamontology.org/format_2551","Sequence record format (text)"
"126","http://edamontology.org/format_1945","mase format",NA,NA,NA,NA,"http://edamontology.org/format_2551","Sequence record format (text)"
"127","http://edamontology.org/format_1946","mega-seq",NA,NA,NA,NA,"http://edamontology.org/format_2551","Sequence record format (text)"
"128","http://edamontology.org/format_1947","GCG MSF",NA,NA,NA,NA,"http://edamontology.org/format_3486","GCG format variant"
"129","http://edamontology.org/format_1948","nbrf/pir",NA,NA,NA,NA,"http://edamontology.org/NA|http://edamontology.org/","NA|NA"
"130","http://edamontology.org/format_1949","nexus-seq",NA,NA,NA,NA,"http://edamontology.org/format_2554|http://edamontology.org/format_2551","Alignment format (text)|Sequence record format (text)"
"131","http://edamontology.org/format_1950","pdbatom",NA,NA,NA,NA,"http://edamontology.org/format_2551|http://edamontology.org/format_1475","Sequence record format (text)|PDB database entry format"
"132","http://edamontology.org/format_1951","pdbatomnuc",NA,NA,NA,NA,"http://edamontology.org/format_2551|http://edamontology.org/format_1475","Sequence record format (text)|PDB database entry format"
"133","http://edamontology.org/format_1952","pdbseqresnuc",NA,NA,NA,NA,"http://edamontology.org/format_2551|http://edamontology.org/format_1475","Sequence record format (text)|PDB database entry format"
"134","http://edamontology.org/format_1953","pdbseqres",NA,NA,NA,NA,"http://edamontology.org/format_2551|http://edamontology.org/format_1475","Sequence record format (text)|PDB database entry format"
"135","http://edamontology.org/format_1954","Pearson format","http://edamontology.org/data_2975","Nucleic acid sequence (raw)",NA,NA,"http://edamontology.org/format_2200","FASTA-like (text)"
"136","http://edamontology.org/format_1957","raw","http://edamontology.org/data_0006","Data",NA,NA,"http://edamontology.org/format_2571","Raw sequence format"
"137","http://edamontology.org/format_1958","refseqp","http://edamontology.org/data_2769","Transcript ID",NA,NA,"http://edamontology.org/format_2551","Sequence record format (text)"
"138","http://edamontology.org/format_1960","Staden format",NA,NA,NA,NA,"http://edamontology.org/format_2551","Sequence record format (text)"
"139","http://edamontology.org/format_1961","Stockholm format","http://edamontology.org/data_1916","Alignment",NA,NA,"http://edamontology.org/format_2554","Alignment format (text)"
"140","http://edamontology.org/format_1962","strider format",NA,NA,NA,NA,"http://edamontology.org/format_2551","Sequence record format (text)"
"141","http://edamontology.org/format_1963","UniProtKB format","http://edamontology.org/data_2974|http://edamontology.org/data_2976|http://edamontology.org/data_2886|http://edamontology.org/data_2339|http://edamontology.org/data_1096","Protein sequence (raw)|Protein sequence|Protein sequence record|Ontology concept name|Sequence accession (protein)",NA,NA,"http://edamontology.org/format_2187","UniProt-like (text)"
"142","http://edamontology.org/format_1964","plain text format (unformatted)","http://edamontology.org/data_0006|http://edamontology.org/data_0977|http://edamontology.org/data_3021|http://edamontology.org/data_1127|http://edamontology.org/data_1097|http://edamontology.org/data_2955|http://edamontology.org/data_2603|http://edamontology.org/data_3108|http://edamontology.org/data_1045|http://edamontology.org/data_1893|http://edamontology.org/data_0896|http://edamontology.org/data_0971|http://edamontology.org/data_2299|http://edamontology.org/data_2338","Data|Tool identifier|UniProt accession|PDB ID|Sequence accession (nucleic acid)|Sequence report|Expression data|Experimental measurement|Species name|Locus ID|Protein report|Article|Gene name|Ontology identifier",NA,NA,"http://edamontology.org/NA|http://edamontology.org/","NA|NA"
"143","http://edamontology.org/format_1966","ASN.1 sequence format","http://edamontology.org/data_2044","Sequence",NA,NA,"http://edamontology.org/format_2551","Sequence record format (text)"
"144","http://edamontology.org/format_1967","DAS format",NA,NA,NA,NA,"http://edamontology.org/format_2552","Sequence record format (XML)"
"145","http://edamontology.org/format_1968","dasdna",NA,NA,NA,NA,"http://edamontology.org/format_2552","Sequence record format (XML)"
"146","http://edamontology.org/format_1969","debug-seq",NA,NA,NA,NA,"http://edamontology.org/format_2551","Sequence record format (text)"
"147","http://edamontology.org/format_1970","jackknifernon",NA,NA,NA,NA,"http://edamontology.org/format_2551","Sequence record format (text)"
"148","http://edamontology.org/format_1972","NCBI format",NA,NA,NA,NA,"http://edamontology.org/format_2200","FASTA-like (text)"
"149","http://edamontology.org/format_1973","nexusnon",NA,NA,NA,NA,"http://edamontology.org/format_2554|http://edamontology.org/format_2551","Alignment format (text)|Sequence record format (text)"
"150","http://edamontology.org/format_1974","GFF2","http://edamontology.org/data_1277","Protein features",NA,NA,"http://edamontology.org/format_2305","GFF"
"151","http://edamontology.org/format_1975","GFF3","http://edamontology.org/data_0006|http://edamontology.org/data_1255|http://edamontology.org/data_2012","Data|Sequence features|Sequence coordinates",NA,NA,"http://edamontology.org/format_2305","GFF"
"152","http://edamontology.org/format_1978","DASGFF","http://edamontology.org/data_0907","Protein family report",NA,NA,"http://edamontology.org/format_2553","Sequence feature table format (XML)"
"153","http://edamontology.org/format_1979","debug-feat",NA,NA,NA,NA,"http://edamontology.org/format_1920","Sequence feature annotation format"
"154","http://edamontology.org/format_1982","ClustalW format","http://edamontology.org/data_0863|http://edamontology.org/data_1916","Sequence alignment|Alignment",NA,NA,"http://edamontology.org/format_2554","Alignment format (text)"
